,Year,Car_name,판매량
0,2022,현대 아이오닉5,"27,399"
1,2022,기아 EV6,"24,852"
2,2022,현대 포터2 일렉트릭,"20,272"
3,2022,기아 봉고3 EV,"12,719"
4,2022,현대 아이오닉6,"11,289"
5,2022,현대 넥쏘,"10,164"
6,2022,니로 EV,"7,454"
7,2022,테슬라 모델3,"7,323"
8,2022,테슬라 모델Y,"7,248"
9,2022,제네시스 GV60,"5,639"
10,2021,현대 아이오닉5,"22,596"
11,2021,현대 포터2 일렉트릭,"15,604"
12,2021,기아 EV6,"10,888"
13,2021,기아 봉고3 EV,"10,498"
14,2021,테슬라 모델3,"8,912"
15,2021,테슬라 모델Y,"8,894"
16,2021,기아 니로 EV,"7,171"
17,2021,현대 코나 일렉트릭,"1,438"
18,2021,아우디 이트론,"1,354"
19,2021,제네시스 G80 EV,"1,326"
20,2020,테슬라 모델3,"11,003"
21,2020,현대 포터2 일렉트릭,"9,037"
22,2020,현대 코나 일렉트릭,"8,066"
23,2020,현대 넥쏘 (수소차),"5,786"
24,2020,기아 봉고3 EV,"5,357"
25,2020,기아 니로 EV,"3,199"
26,2020,쉐보레 볼트 EV,"1,579"
27,2020,현대 아이오닉 일렉트릭,"1,509"
28,2020,기아 쏘울 EV,380
29,2020,르노 조에,192
