location_id,registration_cnt,year
10,23393,2020
17,5355,2020
15,12630,2020
11,5366,2020
14,3210,2020
12,4469,2020
16,2274,2020
13,1148,2020
1,20477,2020
2,4078,2020
8,3883,2020
7,5489,2020
6,3323,2020
5,5223,2020
4,7051,2020
3,6308,2020
9,21285,2020
10,40564,2021
17,12375,2021
15,16185,2021
11,12820,2021
14,5194,2021
12,7701,2021
16,3166,2021
13,1859,2021
1,39958,2021
2,7946,2021
8,8194,2021
7,9991,2021
6,7365,2021
5,8708,2021
4,11240,2021
3,12606,2021
9,25571,2021
10,59327,2022
17,22063,2022
15,24161,2022
11,26242,2022
14,9096,2022
12,14476,2022
16,5061,2022
13,3034,2022
1,77648,2022
2,14012,2022
8,15140,2022
7,16611,2022
6,12727,2022
5,15387,2022
4,19154,2022
3,22740,2022
9,32976,2022
